id,xmm_obsid
SWIFTJ1229.1+0202,0414191001
SWIFTJ0333.6-3607,0692840201
SWIFTJ0333.6-3607,0692840201
SWIFTJ2127.4+5654,0693781701
SWIFTJ2127.4+5654,0693781701
SWIFTJ2127.4+5654,0693781801
SWIFTJ2127.4+5654,0693781901
SWIFTJ1210.5+3924,0679780301
SWIFTJ0333.6-3607,0692840601
SWIFTJ0333.6-3607,0692840301
SWIFTJ0333.6-3607,0692840701
SWIFTJ0333.6-3607,0692840401
SWIFTJ1335.8-3416,0693782001
SWIFTJ1335.8-3416,0693781201
SWIFTJ1335.8-3416,0693781201
SWIFTJ1335.8-3416,0693782101
SWIFTJ1335.8-3416,0693781301
SWIFTJ1335.8-3416,0693782201
SWIFTJ1335.8-3416,0693781401
SWIFTJ1412.9-6522,0701981001
SWIFTJ0433.0+0521,0693781601
SWIFTJ0433.0+0521,0693781601
SWIFTJ0433.0+0521,0693782401
SWIFTJ0333.6-3607,0692840501
SWIFTJ0516.2-0009,0693781501
SWIFTJ1417.9+2507,0720110601
SWIFTJ1417.9+2507,0720110601
SWIFTJ1417.9+2507,0720111001
SWIFTJ1325.4-4301,0724060601
SWIFTJ0234.6-0848,0690870501
SWIFTJ0521.0-2522,0722610101
SWIFTJ0521.0-2522,0722610101
SWIFTJ1417.9+2507,0720111501
SWIFTJ0516.2-0009,0721600401
SWIFTJ0123.9-5846,0741330101
SWIFTJ0123.9-5846,0741330101
SWIFTJ1139.0-2323,0741260101
SWIFTJ1139.0-2323,0741260101
SWIFTJ0242.6+0000,0740060401
SWIFTJ1158.9+4234,0744040301
SWIFTJ1158.9+4234,0744040401
SWIFTJ2236.7-1233,0744490401
SWIFTJ2236.7-1233,0744490501
SWIFTJ2236.7-1233,0744490601
SWIFTJ1239.6-0519,0740920201
SWIFTJ1239.6-0519,0740920301
SWIFTJ1239.6-0519,0740920401
SWIFTJ1239.6-0519,0740920501
SWIFTJ1239.6-0519,0740920601
SWIFTJ0615.8+7101,0741050101
SWIFTJ0615.8+7101,0741050201
SWIFTJ0615.8+7101,0741050401
SWIFTJ0615.8+7101,0741050401
SWIFTJ2254.1-1734,0763920501
SWIFTJ2303.3+0852,0760350201
SWIFTJ2254.1-1734,0763920601
SWIFTJ1218.5+2952,0763790401
SWIFTJ1229.1+0202,0414191101
SWIFTJ1504.2+1025,0763790501
SWIFTJ0228.1+3118,0760530201
SWIFTJ0228.1+3118,0760530301
SWIFTJ1937.5-0613,0761870201
SWIFTJ2254.1-1734,0763920701
SWIFTJ2303.3+0852,0760350301
